Country,EdLevel,LearnCode,Age,YearsCodePro,Salary
India,Bachelor’s degree,School,25-34 years old,7.0,101649.0
Ukraine,Master’s degree,School,25-34 years old,10.0,48936.0
Australia,Bachelor’s degree,School,25-34 years old,9.0,80172.0
India,Master’s degree,School,35-44 years old,18.0,64224.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,68000.0
Germany,Master’s degree,Online Resources,45-54 years old,20.0,95892.0
Ukraine,Less than a Bachelors,Online Resources,25-34 years old,6.0,52968.0
Netherlands,Less than a Bachelors,Online Resources,18-24 years old,2.0,42804.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,25-34 years old,8.0,69800.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,4.0,47563.0
Austria,Less than a Bachelors,School,18-24 years old,0.5,48644.0
Spain,Master’s degree,Others,35-44 years old,22.0,91883.0
Sweden,Bachelor’s degree,Online Resources,45-54 years old,20.0,61366.0
Sweden,Master’s degree,Online Resources,25-34 years old,3.0,56460.0
France,Master’s degree,School,35-44 years old,16.0,45396.0
Germany,Master’s degree,School,25-34 years old,10.0,88640.0
Germany,Master’s degree,School,35-44 years old,14.0,64859.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,12.0,41597.0
Austria,Master’s degree,Online Resources,35-44 years old,11.0,64859.0
Australia,Bachelor’s degree,Online Resources,18-24 years old,5.0,73491.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,70000.0
Germany,Less than a Bachelors,Bootcamp,35-44 years old,15.0,66480.0
Netherlands,Less than a Bachelors,Others,25-34 years old,11.0,86478.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,59454.0
Germany,Professional degree,Others,25-34 years old,7.0,60324.0
Norway,Bachelor’s degree,School,25-34 years old,7.0,97106.0
Israel,Less than a Bachelors,Online Resources,25-34 years old,1.0,42024.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,5.0,48000.0
Germany,Bachelor’s degree,School,25-34 years old,12.0,73074.0
Switzerland,Master’s degree,Online Resources,25-34 years old,5.0,101649.0
Norway,Master’s degree,Others,45-54 years old,22.0,97106.0
Sweden,PHD,School,35-44 years old,16.0,72408.0
Belgium,Master’s degree,School,25-34 years old,8.0,59454.0
Poland,Master’s degree,School,35-44 years old,18.0,71381.0
Netherlands,Less than a Bachelors,School,25-34 years old,4.0,45396.0
Canada,Bachelor’s degree,School,25-34 years old,3.0,60505.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,62697.0
Norway,Bachelor’s degree,Others,25-34 years old,1.0,68190.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,5.0,43537.0
Poland,Master’s degree,Others,35-44 years old,15.0,63792.0
Russian Federation,Master’s degree,Others,35-44 years old,15.0,41520.0
Belgium,Bachelor’s degree,School,25-34 years old,5.0,42804.0
Norway,Master’s degree,Online Resources,25-34 years old,5.0,80922.0
Germany,Bachelor’s degree,Online Resources,35-44 years old,15.0,77832.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,7.0,59454.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,3.0,95000.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,12.0,64860.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,81074.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,72636.0
Switzerland,Professional degree,Online Resources,25-34 years old,7.0,58548.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,8.0,45408.0
Poland,Master’s degree,Online Resources,35-44 years old,17.0,97200.0
India,Bachelor’s degree,School,25-34 years old,4.0,70368.0
Italy,Less than a Bachelors,Others,45-54 years old,15.0,48644.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,0.5,86604.0
Australia,Master’s degree,Online Resources,25-34 years old,4.0,76831.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,13.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,47826.0
Australia,Bachelor’s degree,Online Resources,25-34 years old,3.0,55160.0
Poland,Bachelor’s degree,Online Resources,35-44 years old,11.0,66828.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,85000.0
Germany,Master’s degree,Online Resources,25-34 years old,9.0,76992.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,3.0,55224.0
Belgium,Master’s degree,Online Resources,18-24 years old,1.0,44100.0
Spain,Master’s degree,Online Resources,25-34 years old,7.0,47563.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,55-64 years old,32.0,77556.0
Sweden,Bachelor’s degree,Others,25-34 years old,6.0,61368.0
Netherlands,Master’s degree,Online Resources,35-44 years old,13.0,84316.0
Switzerland,Bachelor’s degree,Online Resources,25-34 years old,4.0,103682.0
Austria,Master’s degree,Online Resources,25-34 years old,7.0,53376.0
Germany,Master’s degree,Online Resources,35-44 years old,15.0,71340.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,6.0,43780.0
Spain,Bachelor’s degree,Others,25-34 years old,7.0,59454.0
Belgium,Master’s degree,School,25-34 years old,8.0,64860.0
Germany,Bachelor’s degree,School,18-24 years old,1.0,46482.0
Poland,PHD,Online Resources,25-34 years old,3.0,56196.0
Germany,PHD,Others,25-34 years old,6.0,108098.0
Netherlands,Less than a Bachelors,Others,25-34 years old,13.0,51888.0
Germany,Less than a Bachelors,School,25-34 years old,6.0,64860.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,6.0,48479.0
Sweden,Bachelor’s degree,School,35-44 years old,22.0,86935.0
Germany,Master’s degree,School,35-44 years old,16.0,77831.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,11.0,58373.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,4.0,64737.0
France,Master’s degree,School,18-24 years old,3.0,43239.0
Israel,Less than a Bachelors,Online Resources,45-54 years old,25.0,91056.0
Netherlands,Bachelor’s degree,Online Resources,35-44 years old,12.0,54480.0
Sweden,Bachelor’s degree,School,35-44 years old,19.0,63816.0
Switzerland,Master’s degree,Online Resources,25-34 years old,8.0,103682.0
Germany,Bachelor’s degree,School,18-24 years old,2.0,48000.0
Netherlands,Bachelor’s degree,School,25-34 years old,6.0,48644.0
Turkey,Master’s degree,School,35-44 years old,4.0,49308.0
Belgium,Bachelor’s degree,Online Resources,25-34 years old,5.0,49296.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,24.0,62045.0
France,Bachelor’s degree,School,25-34 years old,3.0,50806.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,49185.0
Austria,Master’s degree,Online Resources,25-34 years old,10.0,62697.0
Switzerland,Master’s degree,School,25-34 years old,2.0,91484.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,12.0,86000.0
Sweden,Master’s degree,Others,35-44 years old,21.0,73644.0
Germany,Bachelor’s degree,School,25-34 years old,7.0,70264.0
Germany,Bachelor’s degree,School,25-34 years old,2.0,47347.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,8.0,86062.0
Australia,Master’s degree,School,25-34 years old,5.0,70818.0
Germany,Bachelor’s degree,Others,35-44 years old,6.0,64859.0
Poland,Master’s degree,School,25-34 years old,6.0,44550.0
Australia,Bachelor’s degree,Others,35-44 years old,5.0,86853.0
Czech Republic,Less than a Bachelors,Others,25-34 years old,15.0,73615.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,9.0,43564.0
Spain,Bachelor’s degree,Online Resources,25-34 years old,5.0,45401.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,72600.0
Austria,Master’s degree,School,35-44 years old,10.0,71129.0
Australia,Bachelor’s degree,School,18-24 years old,2.0,100200.0
Germany,Master’s degree,Online Resources,25-34 years old,11.0,83236.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,48000.0
Germany,Master’s degree,Online Resources,35-44 years old,13.0,75669.0
Ukraine,Bachelor’s degree,Others,25-34 years old,11.0,46488.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,35-44 years old,20.0,103408.0
Germany,Less than a Bachelors,School,45-54 years old,23.0,86478.0
Germany,Master’s degree,Online Resources,25-34 years old,4.0,46482.0
"Iran, Islamic Republic of...",Master’s degree,Others,25-34 years old,6.0,48456.0
Switzerland,Master’s degree,Others,35-44 years old,19.0,101649.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,51887.0
India,Bachelor’s degree,Online Resources,35-44 years old,8.0,42000.0
Australia,Bachelor’s degree,Online Resources,45-54 years old,21.0,100214.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,0.5,90482.0
France,Master’s degree,School,25-34 years old,5.0,64859.0
Netherlands,Master’s degree,Bootcamp,25-34 years old,6.0,55776.0
Netherlands,Bachelor’s degree,Bootcamp,55-64 years old,40.0,71345.0
Italy,Master’s degree,School,35-44 years old,9.0,45396.0
Germany,Less than a Bachelors,Others,25-34 years old,4.0,44100.0
Netherlands,Master’s degree,School,25-34 years old,10.0,71340.0
United States of America,Bachelor’s degree,Others,35-44 years old,20.0,80000.0
Germany,Master’s degree,Online Resources,25-34 years old,10.0,75669.0
Poland,Less than a Bachelors,Online Resources,25-34 years old,15.0,91128.0
Germany,Less than a Bachelors,School,35-44 years old,12.0,76750.0
Australia,PHD,Others,45-54 years old,8.0,83512.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,45-54 years old,21.0,64630.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,59454.0
Netherlands,Master’s degree,School,25-34 years old,10.0,62268.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,6.0,52968.0
United States of America,Less than a Bachelors,School,25-34 years old,4.0,80000.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,14.0,71340.0
Australia,Bachelor’s degree,School,35-44 years old,18.0,100214.0
Sweden,Bachelor’s degree,Online Resources,35-44 years old,20.0,67500.0
"Iran, Islamic Republic of...",Bachelor’s degree,Others,35-44 years old,15.0,42756.0
Germany,PHD,Others,25-34 years old,9.0,48648.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,35-44 years old,6.0,71093.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,4.0,71093.0
Israel,Bachelor’s degree,Others,25-34 years old,3.0,80556.0
Poland,Master’s degree,School,25-34 years old,4.0,45564.0
Germany,Less than a Bachelors,School,45-54 years old,25.0,45401.0
India,Bachelor’s degree,School,55-64 years old,36.0,55847.0
Germany,Less than a Bachelors,Others,35-44 years old,10.0,56211.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,2.0,49296.0
France,PHD,Online Resources,45-54 years old,27.0,86478.0
Australia,Bachelor’s degree,Online Resources,25-34 years old,6.0,98210.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,56860.0
Italy,Less than a Bachelors,Others,35-44 years old,10.0,54049.0
Italy,Master’s degree,Online Resources,35-44 years old,16.0,55130.0
Spain,Professional degree,School,25-34 years old,9.0,54049.0
Switzerland,Bachelor’s degree,Others,25-34 years old,10.0,101649.0
Austria,Master’s degree,School,25-34 years old,9.0,77831.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,6.0,42960.0
United States of America,Master’s degree,School,25-34 years old,6.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,6.0,56874.0
Sweden,Bachelor’s degree,School,45-54 years old,22.0,79776.0
Germany,Bachelor’s degree,School,18-24 years old,2.0,64859.0
Sweden,Master’s degree,School,25-34 years old,5.0,61368.0
Germany,Master’s degree,Online Resources,35-44 years old,5.0,70264.0
Germany,Master’s degree,School,45-54 years old,25.0,81074.0
Sweden,Master’s degree,Online Resources,35-44 years old,15.0,65052.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,3.0,42374.0
Switzerland,Bachelor’s degree,School,25-34 years old,3.0,65055.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,56211.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,18-24 years old,5.0,77556.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,45-54 years old,3.0,77556.0
Israel,Less than a Bachelors,Online Resources,25-34 years old,10.0,105072.0
Norway,PHD,Online Resources,35-44 years old,11.0,91711.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,8.0,47184.0
Germany,PHD,Online Resources,25-34 years old,7.0,60535.0
Austria,Master’s degree,Online Resources,35-44 years old,22.0,70264.0
Poland,Bachelor’s degree,Bootcamp,25-34 years old,5.0,42528.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,2.0,47633.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,56211.0
India,Master’s degree,School,25-34 years old,9.0,93544.0
Germany,Bachelor’s degree,Online Resources,35-44 years old,12.0,92964.0
Netherlands,Less than a Bachelors,Others,35-44 years old,18.0,66156.0
France,Less than a Bachelors,Others,25-34 years old,8.0,70264.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,4.0,51704.0
Norway,Less than a Bachelors,Others,45-54 years old,27.0,107895.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,5.0,47563.0
Poland,Less than a Bachelors,Online Resources,25-34 years old,8.0,60744.0
India,Bachelor’s degree,Online Resources,25-34 years old,8.0,62832.0
Germany,Master’s degree,Others,25-34 years old,8.0,87559.0
Australia,Bachelor’s degree,School,45-54 years old,23.0,92197.0
Russian Federation,Bachelor’s degree,Online Resources,25-34 years old,4.0,41520.0
Netherlands,Less than a Bachelors,Others,18-24 years old,1.0,46704.0
Austria,Bachelor’s degree,School,25-34 years old,15.0,75669.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,25-34 years old,11.0,93072.0
Australia,Less than a Bachelors,Others,45-54 years old,31.0,80172.0
France,Master’s degree,School,25-34 years old,8.0,78912.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,15.0,59676.0
Netherlands,Master’s degree,Online Resources,25-34 years old,10.0,100000.0
Sweden,Master’s degree,School,35-44 years old,16.0,63816.0
Germany,Master’s degree,School,45-54 years old,21.0,81074.0
Turkey,Bachelor’s degree,School,25-34 years old,4.0,54240.0
Sweden,Less than a Bachelors,School,18-24 years old,3.0,47868.0
France,Master’s degree,Online Resources,25-34 years old,9.0,70264.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,7.0,98969.0
Belgium,Less than a Bachelors,Others,35-44 years old,13.0,45396.0
Netherlands,Master’s degree,School,35-44 years old,10.0,90804.0
Netherlands,Master’s degree,Online Resources,25-34 years old,3.0,49296.0
Spain,Bachelor’s degree,School,35-44 years old,17.0,75669.0
Ukraine,Master’s degree,School,35-44 years old,13.0,60000.0
Germany,Master’s degree,Others,55-64 years old,36.0,76750.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,3.0,90000.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,14.0,58368.0
Poland,Master’s degree,School,25-34 years old,7.0,81074.0
Germany,Master’s degree,Online Resources,25-34 years old,3.0,62268.0
Sweden,Bachelor’s degree,School,25-34 years old,4.0,54612.0
Sweden,Less than a Bachelors,School,25-34 years old,8.0,53388.0
France,Master’s degree,School,25-34 years old,3.0,43239.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,35-44 years old,10.0,103408.0
France,Bachelor’s degree,Online Resources,35-44 years old,10.0,81050.0
United States of America,Bachelor’s degree,School,18-24 years old,2.0,83000.0
France,Master’s degree,School,25-34 years old,3.0,43239.0
France,Less than a Bachelors,School,35-44 years old,21.0,77831.0
Netherlands,Less than a Bachelors,School,35-44 years old,22.0,58368.0
India,Bachelor’s degree,Online Resources,25-34 years old,6.0,50262.0
Austria,Master’s degree,School,25-34 years old,6.0,49941.0
Norway,Bachelor’s degree,Online Resources,35-44 years old,14.0,93869.0
Israel,Bachelor’s degree,Online Resources,25-34 years old,7.0,105072.0
Germany,Less than a Bachelors,School,25-34 years old,7.0,75669.0
Switzerland,Bachelor’s degree,Others,25-34 years old,6.0,106731.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,5.0,62124.0
Germany,Master’s degree,School,35-44 years old,12.0,108098.0
Turkey,Bachelor’s degree,School,25-34 years old,9.0,58188.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,12.0,47184.0
Sweden,Less than a Bachelors,Others,25-34 years old,13.0,73644.0
Sweden,Bachelor’s degree,School,25-34 years old,6.0,41724.0
France,Master’s degree,Others,25-34 years old,9.0,94600.0
Germany,Less than a Bachelors,Others,35-44 years old,14.0,73507.0
Germany,Master’s degree,Online Resources,35-44 years old,9.0,54049.0
Netherlands,Master’s degree,Online Resources,35-44 years old,16.0,64859.0
Germany,PHD,School,35-44 years old,10.0,66480.0
Spain,Bachelor’s degree,School,35-44 years old,11.0,70264.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,57292.0
France,Master’s degree,Bootcamp,25-34 years old,7.0,54049.0
Netherlands,Master’s degree,Others,25-34 years old,7.0,50592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,14.0,84019.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,51240.0
Netherlands,Master’s degree,School,35-44 years old,15.0,51888.0
Austria,Less than a Bachelors,Online Resources,25-34 years old,6.0,58368.0
Ukraine,Master’s degree,Online Resources,25-34 years old,6.0,61176.0
France,Less than a Bachelors,Online Resources,25-34 years old,5.0,43239.0
Spain,Bachelor’s degree,Others,45-54 years old,17.0,77832.0
Spain,Master’s degree,School,25-34 years old,4.0,51887.0
Sweden,Bachelor’s degree,School,25-34 years old,11.0,102276.0
Poland,PHD,School,35-44 years old,22.0,63281.0
Germany,Master’s degree,Others,25-34 years old,4.0,64859.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,75669.0
Australia,Master’s degree,School,25-34 years old,10.0,106895.0
Spain,Less than a Bachelors,Others,35-44 years old,12.0,68102.0
Turkey,Bachelor’s degree,Bootcamp,25-34 years old,11.0,58368.0
Poland,Master’s degree,School,35-44 years old,21.0,75936.0
Austria,Bachelor’s degree,School,25-34 years old,7.0,58373.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,3.0,76066.0
Canada,Bachelor’s degree,School,25-34 years old,8.0,71950.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,51704.0
Sweden,Master’s degree,Online Resources,25-34 years old,5.0,79776.0
Germany,Master’s degree,School,35-44 years old,13.0,73944.0
Norway,Master’s degree,Online Resources,25-34 years old,6.0,78764.0
Sweden,Bachelor’s degree,School,25-34 years old,3.0,50316.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,4.0,45408.0
Russian Federation,Less than a Bachelors,Online Resources,35-44 years old,7.0,69828.0
Norway,Master’s degree,Online Resources,35-44 years old,12.0,102501.0
Norway,Master’s degree,Online Resources,25-34 years old,3.0,64737.0
Germany,Master’s degree,Online Resources,35-44 years old,14.0,77832.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,11.0,47563.0
India,Bachelor’s degree,Online Resources,18-24 years old,2.0,44678.0
Israel,Less than a Bachelors,Online Resources,25-34 years old,2.0,70044.0
Israel,Less than a Bachelors,Online Resources,25-34 years old,14.0,87556.0
Germany,Master’s degree,Online Resources,45-54 years old,23.0,94045.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,2.0,63444.0
Germany,Master’s degree,School,25-34 years old,5.0,54480.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,9.0,54289.0
Norway,PHD,School,35-44 years old,11.0,62579.0
Spain,Bachelor’s degree,Others,35-44 years old,19.0,43239.0
Sweden,Less than a Bachelors,School,25-34 years old,7.0,61368.0
Austria,Less than a Bachelors,School,35-44 years old,15.0,46704.0
Germany,Less than a Bachelors,School,18-24 years old,4.0,45396.0
Spain,Less than a Bachelors,Others,25-34 years old,5.0,45401.0
Netherlands,Bachelor’s degree,School,45-54 years old,18.0,48644.0
France,Professional degree,Online Resources,35-44 years old,10.0,67021.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,5.0,53184.0
Sweden,Less than a Bachelors,School,25-34 years old,10.0,49212.0
Italy,Less than a Bachelors,Others,25-34 years old,10.0,43239.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,5.0,45401.0
France,Master’s degree,Online Resources,35-44 years old,10.0,59454.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,13.0,49296.0
Ukraine,Less than a Bachelors,School,35-44 years old,6.0,44040.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,18-24 years old,5.0,51704.0
India,Bachelor’s degree,Bootcamp,25-34 years old,10.0,41880.0
Norway,Master’s degree,School,25-34 years old,2.0,65816.0
Germany,Bachelor’s degree,School,25-34 years old,5.0,46704.0
Netherlands,Less than a Bachelors,Others,35-44 years old,19.0,79980.0
France,Master’s degree,Others,35-44 years old,15.0,49296.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,8.0,59676.0
Germany,Less than a Bachelors,Online Resources,45-54 years old,23.0,68102.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,5.0,51636.0
Spain,PHD,Online Resources,35-44 years old,15.0,81074.0
Czech Republic,Master’s degree,School,25-34 years old,9.0,45732.0
Spain,Bachelor’s degree,Bootcamp,35-44 years old,15.0,64859.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,4.0,72636.0
Germany,Master’s degree,Others,35-44 years old,14.0,71345.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,55-64 years old,39.0,69800.0
Spain,Bachelor’s degree,Online Resources,25-34 years old,10.0,70264.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,6.0,48644.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,5.0,93067.0
Netherlands,Master’s degree,Online Resources,18-24 years old,4.0,42288.0
Israel,Bachelor’s degree,School,35-44 years old,10.0,78000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,10.0,86604.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,58167.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,3.0,44969.0
Germany,Bachelor’s degree,School,25-34 years old,6.0,61616.0
Ukraine,Master’s degree,Online Resources,25-34 years old,6.0,83196.0
Germany,Bachelor’s degree,Bootcamp,25-34 years old,12.0,48644.0
France,Master’s degree,School,25-34 years old,12.0,64859.0
Switzerland,Bachelor’s degree,Online Resources,25-34 years old,10.0,100020.0
Turkey,Bachelor’s degree,Online Resources,25-34 years old,12.0,49308.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,2.0,54049.0
Switzerland,Less than a Bachelors,School,18-24 years old,4.0,101852.0
France,Master’s degree,Online Resources,35-44 years old,14.0,64859.0
Belgium,Master’s degree,School,35-44 years old,6.0,75669.0
Russian Federation,Bachelor’s degree,Online Resources,25-34 years old,5.0,70774.0
India,Bachelor’s degree,Online Resources,25-34 years old,5.0,50000.0
Germany,Master’s degree,Online Resources,25-34 years old,15.0,91883.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,13.0,65940.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,11.0,62268.0
Austria,Master’s degree,School,35-44 years old,19.0,103776.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,8.0,42804.0
Australia,Bachelor’s degree,Online Resources,25-34 years old,3.0,80172.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,4.0,58368.0
Sweden,Master’s degree,School,25-34 years old,5.0,69960.0
France,Master’s degree,Others,25-34 years old,5.0,48644.0
Norway,Master’s degree,Online Resources,25-34 years old,0.5,64737.0
Austria,Master’s degree,Online Resources,35-44 years old,13.0,62697.0
Austria,Master’s degree,School,25-34 years old,5.0,47011.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,4.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,55-64 years old,33.0,103408.0
Germany,Master’s degree,Online Resources,25-34 years old,3.0,71340.0
Sweden,Bachelor’s degree,Online Resources,35-44 years old,30.0,78552.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Bootcamp,25-34 years old,5.0,52996.0
India,Bachelor’s degree,Online Resources,18-24 years old,2.0,64224.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,71345.0
Poland,Master’s degree,Online Resources,25-34 years old,12.0,48600.0
France,Master’s degree,Online Resources,18-24 years old,4.0,43780.0
Netherlands,Bachelor’s degree,School,35-44 years old,11.0,72145.0
Germany,Master’s degree,Online Resources,25-34 years old,3.0,64859.0
Germany,PHD,School,35-44 years old,11.0,64859.0
India,Bachelor’s degree,School,25-34 years old,9.0,90751.0
Czech Republic,Less than a Bachelors,School,35-44 years old,10.0,51960.0
France,Master’s degree,Online Resources,25-34 years old,8.0,60535.0
Norway,Master’s degree,Online Resources,25-34 years old,6.0,83619.0
Germany,Bachelor’s degree,Others,25-34 years old,6.0,45401.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,6.0,44100.0
Poland,Master’s degree,School,25-34 years old,5.0,51024.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,4.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,7.0,84019.0
Germany,Bachelor’s degree,Others,25-34 years old,3.0,51293.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,25-34 years old,7.0,103408.0
Germany,Less than a Bachelors,School,35-44 years old,22.0,90802.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,10.0,70264.0
France,Master’s degree,School,25-34 years old,6.0,51887.0
Austria,Master’s degree,School,25-34 years old,12.0,80965.0
Norway,Master’s degree,Online Resources,25-34 years old,3.0,79843.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,14.0,67215.0
Italy,Master’s degree,School,35-44 years old,7.0,48644.0
India,Bachelor’s degree,Online Resources,25-34 years old,4.0,48866.0
Belgium,Bachelor’s degree,Online Resources,25-34 years old,10.0,54480.0
Switzerland,Bachelor’s degree,Online Resources,35-44 years old,12.0,96566.0
Switzerland,Bachelor’s degree,Online Resources,18-24 years old,5.0,82944.0
Germany,Master’s degree,Others,35-44 years old,4.0,45396.0
Switzerland,Master’s degree,Online Resources,25-34 years old,1.0,75624.0
France,Master’s degree,Others,25-34 years old,6.0,46482.0
Sweden,Less than a Bachelors,Others,35-44 years old,10.0,81624.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,35-44 years old,10.0,54289.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,35-44 years old,5.0,91774.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,7.0,42656.0
Germany,Master’s degree,Others,35-44 years old,18.0,75669.0
Germany,Master’s degree,School,25-34 years old,6.0,91883.0
Norway,Master’s degree,Online Resources,25-34 years old,5.0,64737.0
Germany,Bachelor’s degree,School,35-44 years old,19.0,108098.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,7.0,58368.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,13.0,48644.0
Switzerland,Master’s degree,Online Resources,25-34 years old,5.0,99616.0
Sweden,Less than a Bachelors,Others,35-44 years old,8.0,42960.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,8.0,51888.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,11.0,85311.0
Poland,Master’s degree,Others,35-44 years old,16.0,75937.0
Netherlands,Master’s degree,Online Resources,25-34 years old,10.0,54480.0
Spain,Master’s degree,School,35-44 years old,8.0,97288.0
